sample_id	ranges
sample_25_kidney	1-384:1-12,49-96:33-72:1,9,17,25,97,105,113,121,193,201,209,217,289,297,305,313
sample_26_placenta	1-384:1-12,49-96:33-72:2,10,18,26,98,106,114,122,194,202,210,218,290,298,306,314
sample_27_adrenal	1-384:1-12,49-96:33-72:3,11,19,27,99,107,115,123,195,203,211,219,291,299,307,315
sample_28_intestine	1-384:1-12,49-96:33-72:4,12,20,28,100,108,116,124,196,204,212,220,292,300,308,316
sample_29_placenta	1-384:1-12,49-96:33-72:5,13,21,29,101,109,117,125,197,205,213,221,293,301,309,317
sample_30_placenta	1-384:1-12,49-96:33-72:6,14,22,30,102,110,118,126,198,206,214,222,294,302,310,318
sample_31_adrenal	1-384:1-12,49-96:33-72:7,15,23,31,103,111,119,127,199,207,215,223,295,303,311,319
sample_32_heart	1-384:1-12,49-96:33-72:8,16,24,32,104,112,120,128,200,208,216,224,296,304,312,320
sample_33_lung	1-384:1-12,49-96:33-72:33,41,49,57,129,137,145,153,225,233,241,249,321,329,337,345
sample_34_kidney	1-384:1-12,49-96:33-72:34,42,50,58,130,138,146,154,226,234,242,250,322,330,338,346
sample_35_liver	1-384:1-12,49-96:33-72:35,43,51,59,131,139,147,155,227,235,243,251,323,331,339,347
sample_36_brain	1-384:1-12,49-96:33-72:36,44,52,60,132,140,148,156,228,236,244,252,324,332,340,348
sample_37_liver	1-384:1-12,49-96:33-72:37,45,53,61,133,141,149,157,229,237,245,253,325,333,341,349
sample_38_lung	1-384:1-12,49-96:33-72:38,46,54,62,134,142,150,158,230,238,246,254,326,334,342,350
sample_39_heart	1-384:1-12,49-96:33-72:39,47,55,63,135,143,151,159,231,239,247,255,327,335,343,351
sample_40_liver	1-384:1-12,49-96:33-72:40,48,56,64,136,144,152,160,232,240,248,256,328,336,344,352
sample_41_thymus	1-384:1-12,49-96:33-72:65,73,81,89,161,169,177,185,257,265,273,281,353,361,369,377
sample_42_heart	1-384:1-12,49-96:33-72:66,74,82,90,162,170,178,186,258,266,274,282,354,362,370,378
sample_43_liver	1-384:1-12,49-96:33-72:67,75,83,91,163,171,179,187,259,267,275,283,355,363,371,379
sample_44_lung	1-384:1-12,49-96:33-72:68,76,84,92,164,172,180,188,260,268,276,284,356,364,372,380
sample_45_brain	1-384:1-12,49-96:33-72:69,77,85,93,165,173,181,189,261,269,277,285,357,365,373,381
sample_46_liver	1-384:1-12,49-96:33-72:70,78,86,94,166,174,182,190,262,270,278,286,358,366,374,382
sample_47_lung	1-384:1-12,49-96:33-72:71,79,87,95,167,175,183,191,263,271,279,287,359,367,375,383
sample_48_standard	1-384:1-12,49-96:33-72:72,80,88,96,168,176,184,192,264,272,280,288,360,368,376,384
